disease_area,query,publication_count
ALL space biology (baseline),"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"")",63804
Cardiovascular diseases,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (heart OR cardiac OR vascular OR hypertension OR atherosclerosis OR ""blood pressure"" OR arrhythmia OR endothelial OR aortic OR coronary OR thrombosis OR angiogenesis OR cardiovascular OR myocardium OR myocardial OR ventricle OR ""bed rest"" OR ""orthostatic intolerance"")",8827
Kidney diseases,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (renal OR nephro OR kidney OR glomerular OR tubular OR dialysis OR nephrolithiasis OR ""kidney stone"" OR urinary OR urolithiasis OR ureter OR ""calcium oxalate"")",1969
Cancer,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (tumor OR oncology OR carcinoma OR neoplasm OR malignant OR metastasis OR leukemia OR lymphoma OR melanoma OR proliferation OR apoptosis OR radiation-induced OR carcinogenesis OR ""DNA damage"" OR tumour)",5961
Neurological diseases,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (brain OR neural OR neurodegenerative OR Alzheimer OR Parkinson OR dementia OR ""motor neuron"" OR neuropathy OR seizure OR epilepsy OR stroke OR cerebral OR neuron OR neurological OR ""central nervous system"" OR CNS OR vestibular OR ""cognitive decline"")",8429
Eye diseases,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (ocular OR retina OR optic OR vision OR ""intraocular pressure"" OR VIIP OR papilledema OR cataract OR glaucoma OR macular OR corneal OR SANS OR ""spaceflight-associated neuro-ocular syndrome"" OR eye OR ""visual impairment"")",4300
Rare inherited disorders,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (""genetic disorder"" OR ""rare disease"" OR hereditary OR monogenic OR congenital OR ""orphan disease"" OR ""inborn error"" OR chromosomal OR mendelian OR ""genetic mutation"" OR inherited)",1158
Women's health,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (reproductive OR fertility OR ovarian OR uterine OR pregnancy OR menstrual OR breast OR cervical OR estrogen OR maternal OR gynecological OR female OR ovary OR menstruation)",14482
Endocrine and metabolic diseases,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (diabetes OR insulin OR thyroid OR ""metabolic syndrome"" OR obesity OR lipid OR glucose OR hormone OR adrenal OR pituitary OR ""growth hormone"" OR cortisol OR metabolism OR metabolic OR liver OR hepatic OR ""fatty acid"" OR cholesterol)",15194
Musculoskeletal diseases,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (bone OR muscle OR skeletal OR osteoporosis OR sarcopenia OR atrophy OR cartilage OR joint OR spine OR fracture OR ""bone density"" OR ""bone loss"" OR tendon OR collagen OR musculoskeletal OR ""hindlimb unloading"" OR disuse OR osteoblast OR osteoclast OR myogenic)",10821
Mental health,"(microgravity OR spaceflight OR ""space station"" OR ISS OR astronaut OR ""simulated weightlessness"" OR ""bed rest study"") AND (psychological OR cognitive OR stress OR anxiety OR depression OR sleep OR circadian OR isolation OR behavioral OR mood OR fatigue OR psychosocial OR neurobehavioral OR confinement OR wellbeing OR mental)",20176
